country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,784000,,,,,846000,,,,,926000,,,,,1030000,,,,,1100000,,,,,1280000,,,,,1370000,,,,,1220000,,,,,1290000,,,,,1820000,,,,,2120000,,,,,2690000,,,,,3030000,,,,,3940000,,,,,4560000,,,,,5030000,,,,,5050000,,,,,5280000,,,,,5390000,,,,,5470000,,,,,5490000,,,,,5440000,,,,,5310000,,,,,5140000,,,,,4960000,,,,,4800000,,,,,4630000,,,,,4460000,,,,,4300000,,,,,4130000,,,,,3980000
Albania,122000,,,,,146000,,,,,155000,,,,,170000,,,,,212000,,,,,263000,,,,,301000,,,,,306000,,,,,320000,,,,,296000,,,,,288000,,,,,316000,,,,,283000,,,,,250000,,,,,193000,,,,,155000,,,,,166000,,,,,162000,,,,,159000,,,,,151000,,,,,136000,,,,,121000,,,,,114000,,,,,111000,,,,,108000,,,,,102000,,,,,95000,,,,,87600,,,,,82300,,,,,79300,,,,,77000
Algeria,942000,,,,,1000000,,,,,1060000,,,,,1150000,,,,,1600000,,,,,1830000,,,,,2150000,,,,,2470000,,,,,2890000,,,,,3380000,,,,,3780000,,,,,3890000,,,,,3640000,,,,,3020000,,,,,2910000,,,,,3820000,,,,,4620000,,,,,4350000,,,,,3990000,,,,,3660000,,,,,3550000,,,,,3660000,,,,,3840000,,,,,3910000,,,,,3770000,,,,,3540000,,,,,3380000,,,,,3340000,,,,,3380000,,,,,3390000,,,,,3340000
Angola,466000,,,,,494000,,,,,511000,,,,,542000,,,,,741000,,,,,806000,,,,,919000,,,,,1080000,,,,,1270000,,,,,1540000,,,,,1760000,,,,,2100000,,,,,2450000,,,,,2900000,,,,,3540000,,,,,4290000,,,,,4920000,,,,,5560000,,,,,6280000,,,,,7080000,,,,,7880000,,,,,8670000,,,,,9420000,,,,,10100000,,,,,10800000,,,,,11400000,,,,,12100000,,,,,12600000,,,,,13100000,,,,,13500000,,,,,13900000
Antigua and Barbuda,4410,,,,,5520,,,,,5950,,,,,6510,,,,,7940,,,,,8300,,,,,8380,,,,,8070,,,,,6030,,,,,5870,,,,,6760,,,,,7620,,,,,8280,,,,,8630,,,,,8400,,,,,8080,,,,,8000,,,,,8080,,,,,8100,,,,,7960,,,,,7720,,,,,7490,,,,,7330,,,,,7230,,,,,7140,,,,,7010,,,,,6830,,,,,6670,,,,,6520,,,,,6430,,,,,6340
Argentina,1570000,,,,,1610000,,,,,1740000,,,,,1960000,,,,,2150000,,,,,2280000,,,,,2310000,,,,,2470000,,,,,2810000,,,,,3330000,,,,,3260000,,,,,3370000,,,,,3460000,,,,,3440000,,,,,3580000,,,,,3640000,,,,,3710000,,,,,3700000,,,,,3660000,,,,,3630000,,,,,3590000,,,,,3550000,,,,,3500000,,,,,3440000,,,,,3380000,,,,,3310000,,,,,3240000,,,,,3180000,,,,,3130000,,,,,3070000,,,,,3010000
Armenia,150000,,,,,196000,,,,,117000,,,,,164000,,,,,259000,,,,,348000,,,,,362000,,,,,301000,,,,,279000,,,,,258000,,,,,291000,,,,,303000,,,,,245000,,,,,182000,,,,,171000,,,,,195000,,,,,202000,,,,,181000,,,,,157000,,,,,139000,,,,,131000,,,,,132000,,,,,132000,,,,,126000,,,,,115000,,,,,106000,,,,,101000,,,,,99600,,,,,99000,,,,,96300,,,,,91300
Australia,552000,,,,,614000,,,,,769000,,,,,1010000,,,,,1110000,,,,,1240000,,,,,1310000,,,,,1310000,,,,,1390000,,,,,1280000,,,,,1310000,,,,,1390000,,,,,1490000,,,,,1480000,,,,,1520000,,,,,1700000,,,,,1790000,,,,,1890000,,,,,1900000,,,,,1900000,,,,,1910000,,,,,1970000,,,,,2040000,,,,,2110000,,,,,2130000,,,,,2140000,,,,,2140000,,,,,2150000,,,,,2170000,,,,,2200000,,,,,2210000
Austria,457000,,,,,495000,,,,,552000,,,,,505000,,,,,487000,,,,,582000,,,,,645000,,,,,623000,,,,,514000,,,,,460000,,,,,481000,,,,,491000,,,,,504000,,,,,457000,,,,,423000,,,,,411000,,,,,420000,,,,,440000,,,,,443000,,,,,430000,,,,,410000,,,,,399000,,,,,401000,,,,,410000,,,,,417000,,,,,415000,,,,,407000,,,,,397000,,,,,393000,,,,,394000,,,,,396000
Azerbaijan,361000,,,,,399000,,,,,249000,,,,,323000,,,,,500000,,,,,672000,,,,,811000,,,,,737000,,,,,674000,,,,,668000,,,,,795000,,,,,938000,,,,,893000,,,,,720000,,,,,637000,,,,,697000,,,,,860000,,,,,795000,,,,,696000,,,,,640000,,,,,640000,,,,,651000,,,,,642000,,,,,615000,,,,,584000,,,,,561000,,,,,551000,,,,,545000,,,,,536000,,,,,522000,,,,,505000
Bahamas,7520,,,,,8640,,,,,9780,,,,,12800,,,,,16300,,,,,19400,,,,,26600,,,,,25500,,,,,26900,,,,,25500,,,,,27900,,,,,30200,,,,,32600,,,,,30500,,,,,25400,,,,,27700,,,,,28500,,,,,28600,,,,,28200,,,,,27300,,,,,26200,,,,,25500,,,,,25600,,,,,25900,,,,,25800,,,,,25300,,,,,24700,,,,,24200,,,,,24000,,,,,23900,,,,,23800
Bahrain,11400,,,,,12600,,,,,15300,,,,,16200,,,,,22200,,,,,32300,,,,,35600,,,,,30200,,,,,37500,,,,,41600,,,,,51900,,,,,65300,,,,,71700,,,,,74400,,,,,80900,,,,,96300,,,,,106000,,,,,109000,,,,,113000,,,,,115000,,,,,116000,,,,,110000,,,,,104000,,,,,101000,,,,,101000,,,,,102000,,,,,101000,,,,,99200,,,,,96500,,,,,94400,,,,,93700
