country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,1290000,,,,,1360000,,,,,1540000,,,,,1760000,,,,,2030000,,,,,2330000,,,,,2480000,,,,,2280000,,,,,2380000,,,,,3330000,,,,,4010000,,,,,4780000,,,,,5200000,,,,,5240000,,,,,5450000,,,,,5540000,,,,,5610000,,,,,5620000,,,,,5560000,,,,,5420000,,,,,5240000,,,,,5060000,,,,,4880000,,,,,4700000,,,,,4530000,,,,,4360000,,,,,4190000,,,,,4030000,,,,,3890000,,,,,3760000,,,,,3630000
Albania,181000,,,,,223000,,,,,273000,,,,,310000,,,,,312000,,,,,325000,,,,,335000,,,,,355000,,,,,388000,,,,,334000,,,,,279000,,,,,219000,,,,,174000,,,,,172000,,,,,168000,,,,,165000,,,,,156000,,,,,141000,,,,,127000,,,,,119000,,,,,116000,,,,,113000,,,,,107000,,,,,99100,,,,,91400,,,,,85800,,,,,82600,,,,,80000,,,,,76700,,,,,72400,,,,,68000
Algeria,1400000,,,,,1830000,,,,,2080000,,,,,2400000,,,,,2690000,,,,,3090000,,,,,3530000,,,,,3890000,,,,,3990000,,,,,3730000,,,,,3090000,,,,,2960000,,,,,3860000,,,,,4660000,,,,,4390000,,,,,4010000,,,,,3680000,,,,,3570000,,,,,3680000,,,,,3860000,,,,,3930000,,,,,3790000,,,,,3550000,,,,,3390000,,,,,3360000,,,,,3390000,,,,,3400000,,,,,3350000,,,,,3230000,,,,,3120000,,,,,3050000
Angola,739000,,,,,1020000,,,,,1100000,,,,,1200000,,,,,1300000,,,,,1520000,,,,,1810000,,,,,2120000,,,,,2440000,,,,,2800000,,,,,3160000,,,,,3780000,,,,,4510000,,,,,5160000,,,,,5790000,,,,,6520000,,,,,7310000,,,,,8110000,,,,,8890000,,,,,9630000,,,,,10300000,,,,,11000000,,,,,11600000,,,,,12200000,,,,,12800000,,,,,13300000,,,,,13700000,,,,,14100000,,,,,14400000,,,,,14600000,,,,,14700000
Antigua and Barbuda,6600,,,,,8440,,,,,8940,,,,,9170,,,,,9900,,,,,9320,,,,,7290,,,,,7200,,,,,7360,,,,,6770,,,,,8260,,,,,8450,,,,,8120,,,,,8040,,,,,8110,,,,,8130,,,,,7990,,,,,7740,,,,,7500,,,,,7340,,,,,7250,,,,,7150,,,,,7010,,,,,6840,,,,,6670,,,,,6530,,,,,6430,,,,,6330,,,,,6220,,,,,6100,,,,,5960
Argentina,1950000,,,,,2150000,,,,,2250000,,,,,2340000,,,,,2460000,,,,,2800000,,,,,3320000,,,,,3280000,,,,,3410000,,,,,3520000,,,,,3470000,,,,,3590000,,,,,3650000,,,,,3720000,,,,,3700000,,,,,3670000,,,,,3630000,,,,,3590000,,,,,3550000,,,,,3500000,,,,,3450000,,,,,3380000,,,,,3310000,,,,,3250000,,,,,3190000,,,,,3130000,,,,,3070000,,,,,3010000,,,,,2950000,,,,,2890000,,,,,2840000
Armenia,150000,,,,,235000,,,,,323000,,,,,346000,,,,,292000,,,,,302000,,,,,327000,,,,,371000,,,,,386000,,,,,290000,,,,,197000,,,,,187000,,,,,201000,,,,,206000,,,,,185000,,,,,162000,,,,,143000,,,,,135000,,,,,136000,,,,,136000,,,,,129000,,,,,119000,,,,,109000,,,,,104000,,,,,102000,,,,,101000,,,,,98500,,,,,93300,,,,,87700,,,,,83800,,,,,81900
Australia,889000,,,,,993000,,,,,1090000,,,,,1160000,,,,,1240000,,,,,1270000,,,,,1130000,,,,,1200000,,,,,1260000,,,,,1300000,,,,,1280000,,,,,1270000,,,,,1460000,,,,,1550000,,,,,1660000,,,,,1660000,,,,,1660000,,,,,1680000,,,,,1740000,,,,,1820000,,,,,1890000,,,,,1930000,,,,,1950000,,,,,1960000,,,,,1990000,,,,,2020000,,,,,2060000,,,,,2080000,,,,,2080000,,,,,2080000,,,,,2080000
Austria,516000,,,,,491000,,,,,581000,,,,,647000,,,,,623000,,,,,509000,,,,,430000,,,,,442000,,,,,429000,,,,,472000,,,,,416000,,,,,398000,,,,,391000,,,,,407000,,,,,427000,,,,,430000,,,,,417000,,,,,397000,,,,,387000,,,,,389000,,,,,398000,,,,,406000,,,,,405000,,,,,397000,,,,,388000,,,,,385000,,,,,386000,,,,,388000,,,,,388000,,,,,384000,,,,,377000
Azerbaijan,342000,,,,,535000,,,,,700000,,,,,840000,,,,,779000,,,,,705000,,,,,697000,,,,,800000,,,,,939000,,,,,894000,,,,,713000,,,,,643000,,,,,702000,,,,,866000,,,,,800000,,,,,700000,,,,,643000,,,,,643000,,,,,654000,,,,,645000,,,,,618000,,,,,586000,,,,,563000,,,,,553000,,,,,547000,,,,,538000,,,,,523000,,,,,507000,,,,,492000,,,,,481000,,,,,473000
Bahamas,12100,,,,,13600,,,,,17500,,,,,22700,,,,,23200,,,,,25200,,,,,25300,,,,,29600,,,,,28400,,,,,30600,,,,,28100,,,,,27500,,,,,27000,,,,,27900,,,,,27900,,,,,27600,,,,,26700,,,,,25500,,,,,24900,,,,,25000,,,,,25300,,,,,25200,,,,,24800,,,,,24200,,,,,23800,,,,,23600,,,,,23500,,,,,23400,,,,,23100,,,,,22700,,,,,22300
Bahrain,20200,,,,,22100,,,,,27700,,,,,31600,,,,,35500,,,,,39900,,,,,49900,,,,,58500,,,,,65900,,,,,61300,,,,,74000,,,,,81200,,,,,91400,,,,,106000,,,,,108000,,,,,112000,,,,,114000,,,,,115000,,,,,109000,,,,,103000,,,,,100000,,,,,101000,,,,,101000,,,,,101000,,,,,98600,,,,,96000,,,,,93900,,,,,93300,,,,,93000,,,,,92500,,,,,91100
Bangladesh,6240000,,,,,6820000,,,,,8480000,,,,,10200000,,,,,12000000,,,,,12400000,,,,,14300000,,,,,15700000,,,,,16500000,,,,,16600000,,,,,16800000,,,,,16700000,,,,,15800000,,,,,15300000,,,,,14800000,,,,,14200000,,,,,13500000,,,,,12700000,,,,,12000000,,,,,11500000,,,,,11000000,,,,,10500000,,,,,10100000,,,,,9670000,,,,,9310000,,,,,8970000,,,,,8670000,,,,,8390000,,,,,8120000,,,,,7870000,,,,,7650000
Barbados,26000,,,,,30900,,,,,32400,,,,,32500,,,,,26300,,,,,22000,,,,,22000,,,,,21200,,,,,20500,,,,,19600,,,,,18700,,,,,18100,,,,,17600,,,,,17400,,,,,17000,,,,,16600,,,,,16300,,,,,16000,,,,,15700,,,,,15500,,,,,15300,,,,,15000,,,,,14700,,,,,14500,,,,,14300,,,,,14100,,,,,13900,,,,,13600,,,,,13400,,,,,13200,,,,,13000
Belarus,659000,,,,,812000,,,,,965000,,,,,880000,,,,,725000,,,,,745000,,,,,742000,,,,,805000,,,,,792000,,,,,598000,,,,,460000,,,,,448000,,,,,509000,,,,,576000,,,,,554000,,,,,511000,,,,,461000,,,,,438000,,,,,453000,,,,,480000,,,,,486000,,,,,466000,,,,,438000,,,,,421000,,,,,421000,,,,,430000,,,,,434000,,,,,426000,,,,,411000,,,,,398000,,,,,393000
Belgium,697000,,,,,702000,,,,,750000,,,,,784000,,,,,719000,,,,,653000,,,,,600000,,,,,590000,,,,,590000,,,,,610000,,,,,576000,,,,,583000,,,,,633000,,,,,645000,,,,,664000,,,,,653000,,,,,640000,,,,,634000,,,,,644000,,,,,657000,,,,,666000,,,,,666000,,,,,661000,,,,,657000,,,,,657000,,,,,662000,,,,,665000,,,,,665000,,,,,661000,,,,,655000,,,,,651000
Belize,10900,,,,,16400,,,,,17800,,,,,19300,,,,,21700,,,,,24000,,,,,24500,,,,,28600,,,,,30400,,,,,31500,,,,,37200,,,,,38300,,,,,37800,,,,,39500,,,,,41900,,,,,43300,,,,,43100,,,,,42400,,,,,41700,,,,,41400,,,,,41400,,,,,41000,,,,,40400,,,,,39600,,,,,38900,,,,,38400,,,,,37900,,,,,37500,,,,,36900,,,,,36300,,,,,35700
Benin,309000,,,,,340000,,,,,383000,,,,,442000,,,,,508000,,,,,583000,,,,,681000,,,,,792000,,,,,920000,,,,,1070000,,,,,1220000,,,,,1380000,,,,,1560000,,,,,1740000,,,,,1910000,,,,,2080000,,,,,2260000,,,,,2430000,,,,,2590000,,,,,2740000,,,,,2880000,,,,,3010000,,,,,3120000,,,,,3230000,,,,,3320000,,,,,3390000,,,,,3440000,,,,,3490000,,,,,3510000,,,,,3510000,,,,,3500000
Bhutan,31800,,,,,32000,,,,,38000,,,,,45000,,,,,54000,,,,,63300,,,,,72600,,,,,80900,,,,,92400,,,,,83000,,,,,77900,,,,,73200,,,,,73500,,,,,70700,,,,,70300,,,,,67200,,,,,62900,,,,,58900,,,,,56100,,,,,54400,,,,,53100,,,,,51500,,,,,49500,,,,,47400,,,,,45800,,,,,44700,,,,,43800,,,,,42900,,,,,41700,,,,,40500,,,,,39400
