"","artist","track","target","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"1","Serani","No Games","dislike",0.741,0.79,"2",-5.056,"1",0.284,0.000755,0,0.0345,0.806,185.779,188200
"2","Jeremih","Birthday Sex","dislike",0.675,0.545,"7",-5.614,"0",0.0443,0.261,0,0.162,0.445,60.048,226507
"3","Dawin","Dessert","dislike",0.868,0.679,"6",-6.941,"1",0.0397,0.0799,1.22e-06,0.0504,0.75,97.012,210983
"4","Jeremih","Down On Me","dislike",0.7,0.598,"2",-7.783,"1",0.114,0.0369,0,0.111,0.594,160.041,228453
"5","50 Cent","Ayo Technology","dislike",0.63,0.782,"8",-5.44,"0",0.132,0.0828,0,0.034,0.418,140.144,247947
"6","The World-Band","Rich Girl","dislike",0.812,0.804,"7",-5.075,"0",0.0766,0.00314,0,0.152,0.922,98.043,204000
"7","Kid Cudi","Day 'N' Nite (Nightmare)","dislike",0.88,0.443,"11",-6.359,"0",0.0653,0.462,7.13e-06,0.122,0.803,138.018,221240
"8","","","dislike",0.817,0.714,"11",-8.042,"0",0.283,0.00735,0,0.268,0.702,94.623,237187
"9","Soulja Boy","Crank That (Soulja Boy)","dislike",0.738,0.724,"0",-2.121,"1",0.094,0.541,0,0.0889,0.831,140.124,223493
"10","Enrique Iglesias","Tonight (I'm Fuckin' You)","dislike",0.669,0.875,"5",-4.655,"0",0.0472,0.0359,6.52e-06,0.15,0.251,125.983,231653
"11","The Black Eyed Peas","Alive","dislike",0.801,0.643,"11",-7.07,"0",0.0375,0.0676,0.00047,0.613,0.568,115.038,303453
"12","Jennifer Lopez","Jenny from the Block - Track Masters Remix featuring Styles P. & Jadakiss","dislike",0.847,0.754,"6",-5.444,"1",0.193,0.00804,4.49e-06,0.0517,0.957,100,189893
"13","Snoop Dogg","Sweat - Remix","dislike",0.813,0.732,"7",-5.636,"1",0.03,0.0597,0.00137,0.0826,0.731,130.02,195987
"14","G-Eazy","Me, Myself & I","dislike",0.757,0.672,"0",-6.524,"0",0.0955,0.0186,0,0.158,0.382,111.996,251467
"15","Major Lazer","Light It Up (feat. Nyla & Fuse ODG) - Remix","dislike",0.736,0.879,"9",-3.782,"0",0.0696,0.0369,0.000736,0.233,0.757,107.976,166138
"16","Fergie","A Little Party Never Killed Nobody (All We Got)","dislike",0.764,0.62,"5",-5.757,"0",0.184,0.0107,5.13e-06,0.0968,0.526,129.989,241307
"17","Sean Kingston","Beat It","dislike",0.477,0.637,"1",-5.386,"1",0.109,0.00487,0,0.284,0.555,198.12,253453
"18","T-Pain","Up Down (Do This All Day)","dislike",0.777,0.497,"5",-6.846,"0",0.056,0.256,0,0.295,0.465,96.994,231093
"19","Robin Schulz","Sugar (feat. Francesco Yates)","dislike",0.636,0.815,"5",-5.098,"0",0.0581,0.0185,0,0.163,0.636,123.063,219043
"20","Sean Paul","Temperature","dislike",0.951,0.6,"0",-4.675,"0",0.0685,0.106,0,0.0712,0.822,125.04,218573
"21","Sean Paul","Get Busy","dislike",0.735,0.824,"10",-4.143,"0",0.036,0.615,0,0.158,0.726,100.202,211666
"22","Sean Paul","We Be Burnin' (Recognize It)","dislike",0.907,0.77,"1",-5.837,"1",0.197,0.378,0,0.0791,0.871,117.009,216560
"23","50 Cent","In Da Club","dislike",0.899,0.713,"6",-2.752,"0",0.366,0.255,0,0.0708,0.777,90.051,193467
"24","50 Cent","P.I.M.P.","dislike",0.712,0.772,"10",-3.024,"0",0.346,0.0521,4.35e-06,0.0368,0.848,84.722,249480
"25","Akon","Smack That","dislike",0.937,0.738,"5",-5.301,"0",0.0478,0.292,0,0.106,0.911,118.994,212360
"26","Daddy Yankee","Gasolina","dislike",0.855,0.794,"0",-6.498,"1",0.0557,0.335,4.38e-06,0.0711,0.751,96.013,192573
"27","DJ Hard2Def","Baddis Ting","dislike",0.857,0.521,"10",-6.82,"0",0.0773,0.0898,0,0.284,0.693,111.961,211587
"28","I am Aisha","Zulke Dingen Doe Je","dislike",0.831,0.728,"0",-7.35,"0",0.066,0.0235,3.81e-05,0.082,0.841,124.995,178897
"29","Enur","Calabria 2008","dislike",0.888,0.666,"10",-5.547,"0",0.163,0.0077,0.00156,0.0555,0.464,125.993,230733
"30","J Capri","Whine & Kotch - Raw","dislike",0.699,0.675,"9",-5.383,"1",0.387,0.0654,0,0.143,0.442,105.151,217200
"31","Blu Cantrell","Breathe - Rap Version","dislike",0.8,0.663,"2",-3.832,"1",0.0324,0.048,0,0.252,0.472,91.934,228000
"32","Jennifer Lopez","Ain't Your Mama","dislike",0.757,0.678,"8",-5.529,"0",0.233,0.0472,9.14e-06,0.0654,0.82,120.075,218235
"33","Ne-Yo","She Knows","dislike",0.706,0.572,"8",-5.799,"0",0.0326,0.0262,0,0.585,0.574,139.982,214726
"34","Jennifer Lopez","Let's Get Loud","dislike",0.82,0.937,"5",-4.81,"0",0.0551,0.135,0.000128,0.35,0.906,130.993,239400
